ACQUISITIONDATE,ACRES,ADDRESS,BOROUGH,CLASS,COMMUNITYBOARD,COUNCILDISTRICT,DEPARTMENT,EAPPLY,GISOBJID,GISPROPNUM,GlobalID,JURISDICTION,LOCATION,MAPPED,NAME311,NYS_ASSEMBLY,NYS_SENATE,OBJECTID,OMPPROPID,PARENTID,PERMIT,PERMITDISTRICT,PERMITPARENT,PIP_RATABLE,PRECINCT,RETIRED,SIGNNAME,SUBCATEGORY,TYPECATEGORY,US_CONGRESS,WATERFRONT,ZIPCODE,Location
1916 Sep 01 12:00:00 AM,0.001,,Q,PARK,405,30,Q-05,Luke J. Lang Square,"100,000,017",Q063,4D8CE03D-0463-46EC-BC2E-B0CB95F64816,DPR,"Fresh Pond Rd., 59 Rd. and 61 St.",True,Luke J. Lang Square,37,12,"170,070",Q063,Q-05,False,Q-05,Q-05,True,104,False,Luke J. Lang Square,Sitting Area/Triangle/Mall,Triangle/Plaza,6,False,11378,POINT (-73.90241558586716 40.71856053473492)
1934 May 09 12:00:00 AM,0.696,,X,PARK,201,17,X-01,Evelina Antonetty Playground,"100,004,864",X106,8C492D8A-78D2-4A15-9B9C-7D622CF8F568,DPR,E 146 St bet. Walton Av and Grand Concourse,True,Evelina Antonetty Playground,84,29,"170,100",X106,X-01,True,X-01,X-01,True,40,False,Evelina Antonetty Playground,Neighborhood Plgd,Playground,15,False,10451,POINT (-73.92829382013896 40.81750743979714)
1953 Dec 29 12:00:00 AM,0.126,,Q,PARK,405,30,Q-05,Technical Sgt. Thomas J. Davey Triangle,"100,000,342",Q360F,319E060C-9DA1-4862-A9F6-79323F7C75B8,DPR,"Borden Ave., Hamilton Pl., Jay Ave.",True,Technical Sergeant Thomas J. Davey Triangle,37,12,"170,068",Q360F,Q-05,False,Q-05,Q-05,True,104,False,Technical Sergeant Thomas J. Davey Triangle,Sitting Area/Triangle/Mall,Triangle/Plaza,6,False,11378,POINT (-73.90059930551854 40.726397788308574)
1968 Jul 30 12:00:00 AM,0.006,,Q,PARK,402,26,Q-02,Strip,"100,000,458",Q360C,EC607679-813C-4253-8E84-B609560E5AFC,DPR,"51 Rd., Queens-Mid-Town Exwy., 47 St.",True,Park,37,12,"170,064",Q360C,Q-02,False,Q-02,Q-02,False,108,False,Park,STRIP,Strip,7,False,11377,POINT (-73.92016690292098 40.7336238511335)
1973 Oct 11 12:00:00 AM,0.92,468 EAST 140 STREET,X,PARK,201,8,X-01,Saw Mill Playground,"100,004,414",X238,E412B361-C257-479D-A4B1-E294C24E833D,DPR/DOE,E. 139 St. bet. Brook Ave. and Willis Ave.,False,Saw Mill Playground,84,29,"170,096",X238,X-01,True,X-01,X-01,True,40,False,Saw Mill Playground,JOP,Jointly Operated Playground,15,False,10454,POINT (-73.91937274181112 40.8089111068179)
1926 Mar 18 12:00:00 AM,0.38,,X,PARK,212,12,X-12,D'Onofrio Square,"100,004,203",X084,D276A4A3-DBD9-4330-87D2-896461698924,DPR,White Plains Rd. bet. E. 213 St. and E. 215 St.,True,D'Onofrio Square,83,36,"170,095",X084,X-12,True,X-12,X-12,True,47,False,D'Onofrio Square,Sitting Area/Triangle/Mall,Triangle/Plaza,15,False,10467,POINT (-73.86491809406716 40.88020474908379)
1948 Oct 31 12:00:00 AM,5.165,254 JEFFERSON STREET,R,PARK,502,50,R-02B,Gen. Douglas MacArthur Park,"100,003,912",R067,D0F7A6AE-24DC-4904-8C53-0843075248F2,DPR,Dongan Hills Ave. and Jefferson St.,True,Gen. Douglas MacArthur Park,64,23,"170,093",R067,R-02,True,R-02,R-02,True,122,False,Gen. Douglas MacArthur Park,Neighborhood Plgd,Community Park,11,False,10306,POINT (-74.10061140508884 40.58607108807155)
1995 Aug 10 12:00:00 AM,10.735,821 Co-Op City Boulevard,X,PARK,210,12,X-10,Givans Creek Woods,"100,005,095",X268,F5253466-4E05-4DB0-9598-6A6289E3971D,DPR,New England Thruway bet. Co-op City Blvd. and Rombouts Ave,False,Givans Creek Woods,82,36,"170,092",X268,X-10,True,X-10,X-10,True,45,False,Givans Creek Woods,Large Park,Nature Area,14,False,10475,POINT (-73.83036960696457 40.88005497714285)
1946 May 14 12:00:00 AM,0.067,,B,PARK,301,34,B-01,Father Giorgio Triangle,"100,004,018",B223T,FF39CB79-3238-49EF-9C2D-DD7F348787B9,DPR/CDOT,"Jackson St., Lorimer St., Meeker Ave.",False,Father Giorgio Triangle,50,18,"170,033",B223T,B-01,True,B-01,B-01,True,94,False,Father Giorgio Triangle,Sitting Area/Triangle/Mall,Triangle/Plaza,7,False,11211,POINT (-73.94989553473411 40.716271215978)
1957 Jun 27 12:00:00 AM,2.537,1915 SCHIEFFLIN AV,X,PARK,212,12,X-12,Edenwald Playground,"100,004,205",X165,13FE5DB0-A687-4870-99CB-9337F35F54C8,DPR/NYCHA,Schieffelin Ave. bet. E. 266 Dr. and E. 229 St.,True,Edenwald Playground,83,36,"170,090",X165,X-12,True,X-12,X-12,True,47,False,Edenwald Playground,JOP,Jointly Operated Playground,16,False,10466,POINT (-73.84489446371333 40.884524031477206)
2014 May 20 12:00:00 AM,0.045,239 GRAND STREET,B,PARK,301,34,B-01,,"100,008,377",B552,662813C5-5E9D-4DC3-BB65-DBFA454F5801,DPR,Grand St. bet. Driggs Ave. and Roebling St.,False,Grand St. Community Garden,50,59,"170,031",B552,B-01,,B-01,B-01,False,90,False,Grand Street Community Garden,,Garden,7,False,11211,POINT (-73.9588949572915 40.71384186088477)
1989 Nov 03 12:00:00 AM,0.27,2008 GILDERSLEEVE AVENUE,X,PARK,209,18,X-09,Waterfront Garden,"100,004,032",X088A,B834188E-113C-4A86-B39A-11DD95817031,DPR,Gildersleeve Ave. bet. Husson Ave. and Betts Ave.,False,Waterfront Garden,85,29,"170,546",X088A,X-09,True,X-09,X-09,False,43,False,Waterfront Garden,Greenthumb,Garden,14,False,10473,POINT (-73.85055811399903 40.80977585750068)
1962 Aug 23 12:00:00 AM,1.29,817 FLUSHING AVENUE,B,PARK,301,34,B-01,Bushwick Pool & Playground,"100,004,086",B310,5876C09B-DD6B-4AD2-9D5E-0E1639A1F98F,DPR,Flushing Ave. bet.. Beaver St. and Garden St.,True,Bushwick Playground,53,18,"170,545",B310,B-01,True,B-01,B-01,True,90,False,Bushwick Playground,Neighborhood Plgd,Community Park,7,False,11206,POINT (-73.93942079882785 40.701745379824665)
1995 Apr 04 12:00:00 AM,0.96,1684 RICHMOND TERRACE,R,PARK,501,49,R-01,Park,"100,004,005",R134,483D9959-34B9-4EF9-8D86-A68694834F4B,DPR,Richmond Ter. bet. Alaska St. and Taylor St.,False,Park,61,23,"170,325",R134,R-01,False,R-01,R-01,False,120,False,Park,Facility,Undeveloped,11,False,10310,POINT (-74.12198197038185 40.6384037585711)
1957 May 08 12:00:00 AM,0.047,,Q,PARK,405,30,Q-05,Sitting Area,"100,000,086",Q360T,3931028D-06D8-4063-B770-E0E5B765294C,DPR/CDOT,74 St. at 57 Ave.,False,Sitting Area,30,12,"170,061",Q360T,Q-05,False,Q-05,Q-05,True,104,False,Sitting Area,Sitting Area/Triangle/Mall,Triangle/Plaza,6,False,11373,POINT (-73.88700991807235 40.72845854670473)
1899 Jun 28 12:00:00 AM,3.306,2100 CEDAR AVENUE,X,PARK,205,14,X-05,University Woods,"100,004,111",X051,8EB57C3B-3010-49FD-8926-D3082B0E3500,DPR,"Cedar Ave., Sedgwick Ave. bet. Hall of Fame Ter. and W. 180 St.",True,University Woods,86,31,"170,030",X051,X-05,True,X-05,X-05,True,46,False,University Woods,Neighborhood Park,Neighborhood Park,13,False,10468,POINT (-73.91542090016013 40.85903028778722)
2001 Aug 21 12:00:00 AM,21.10936646,,X,PARK,202,17,X-02,South Brother Island,"100,003,800",X309,260319D3-C5CC-404E-A5DC-8994D494AE9C,DPR,East River,False,South Brother Island,85,29,"170,055",X309,X-02,True,X-02,X-02,False,41,False,South Brother Island,Undeveloped,Nature Area,14,True,10021,POINT (-73.89745981304705 40.79677362296079)
2004 Feb 13 12:00:00 AM,3.504,94-14 159 STREET,Q,PARK,412,27,Q-12,Prospect Cemetery,"100,000,340",Q482,A411032F-67B2-4181-A3ED-794AC3F4C8EF,DPR,Beaver Rd. bet. 158 St. and 159 St.,False,Prospect Cemetery,32,14,"170,544",Q482,Q-12,True,Q-12,Q-12,False,103,False,Prospect Cemetery,Cemetery,Cemetery,5,False,11433,POINT (-73.79948269033153 40.70146212198879)
1953 Dec 29 12:00:00 AM,1.633,,Q,PARK,404,30,Q-04,Crowley Playground,"100,000,166",Q360J,56BAAFC9-294E-43EA-A4F9-D65A210343DA,DPR,"Queens Midtown Exwy., 57 Ave. bet. 84 St. and 82 St.",False,Crowley Playground,30,12,"170,051",Q360J,Q-04,True,Q-04,Q-04,True,110,False,Crowley Playground,Neighborhood Plgd,Neighborhood Park,6,False,11373,POINT (-73.87940636099924 40.72984425994001)
1975 Oct 08 12:00:00 AM,1.623,2545 GUNTHER AVENUE,X,PARK,211,13,X-11,Burns Playground,"100,004,421",X232,9BADCC59-E3D3-48C3-AD77-5425391A27C6,DPR/DOE,Mace Ave. bet. Lodovick Ave. and Gunther Ave.,False,Burns Playground,80,36,"170,050",X232,X-11,True,X-11,X-11,True,49,False,Burns Playground,JOP,Jointly Operated Playground,14,False,10469,POINT (-73.83658214582346 40.86320579969244)
1948 Nov 18 12:00:00 AM,1.025,1201 Adee Ave.,X,PARK,211,12,X-11,Eastchester Playground,"100,004,202",X156,72AF9D73-AAD7-4484-8313-3C0E60EDCBD7,DPR,Adee Ave. at Tenboeck Ave.,True,Eastchester Playground,83,36,"170,049",X156,X-11,True,X-11,X-11,True,49,False,Eastchester Playground,Neighborhood Plgd,Playground,15,False,10469,POINT (-73.85281572627606 40.86982452368753)
1948 Dec 09 12:00:00 AM,0.817,,X,PARK,211,12,X-11,Parkside Playground,"100,004,701",X162,2A5324D9-2547-4F55-A0A7-952A1706103F,DPR,Arnow Ave. bet. Olinville Ave. and White Plains Rd.,True,Parkside Playground,80,36,"170,047",X162,X-11,True,X-11,X-11,True,49,False,Parkside Playground,Neighborhood Plgd,Playground,15,False,10467,POINT (-73.86802375731759 40.86855256616967)
1945 Dec 13 12:00:00 AM,0.075,,M,PARK,102,2,M-02,Minetta Triangle,"100,004,960",M125D,0E254A95-6CE3-4F38-B3AF-02D2A49DF91A,DPR,N/e Corner Ave. of Americas and Minetta St.,True,Minetta Triangle,66,27,"170,079",M125D,M-02,True,M-02,M-02,True,6,False,Minetta Triangle,Sitting Area/Triangle/Mall,Triangle/Plaza,10,False,10012,POINT (-74.00182141136469 40.72992843342149)
1960 Oct 21 12:00:00 AM,16.439,,Q,PARK,412,27,Q-12A,Gwen Ifill Park,"100,000,253",Q412,A2FFD100-56BC-428A-996E-B1C70310B030,DPR,129 Ave. bet. 172 St. and 176 St.,True,Gwen Ifill Park,32,10,"170,046",Q412,Q-12A,False,Q-12A,Q-12A,True,113,False,Gwen Ifill Park,Large Park,Nature Area,5,False,11434,POINT (-73.76848813532757 40.67861042298179)
1954 Jul 20 12:00:00 AM,1.02,,X,PARK,211,13,X-11,Matthews Muliner Playground,"100,003,768",X178,83BD1358-1A3F-4D8B-A9B6-9AC39881D911,DPR,Mathews Ave. bet. Morris Park Ave. and Rhinelander Ave.,True,Matthews Muliner Playground,80,33,"170,045",X178,X-11,True,X-11,X-11,True,49,False,Matthews Muliner Playground,Neighborhood Plgd,Playground,15,False,10462,POINT (-73.86150100996983 40.846916824434544)
1951 Dec 20 12:00:00 AM,4.863,9-01 SEAGIRT BOULEVARD,Q,PARK,414,31,Q-14,Beach 9 Playground (O'Donohue Park),"100,000,412",Q162J01,9F28F62C-7E5B-4163-B4C5-C0FBA8652431,DPR,Seagirt Blvd bet. B. 12 St. and B. 9 St.,True,Beach 9 Playground,23,10,"170,075",Q162J01,Q-14,True,Q-14,Q-14,True,101,False,Beach 9 Playground,Neighborhood Plgd,Neighborhood Park,5,True,11691,POINT (-73.74498228046387 40.59530435124671)
1992 Sep 22 12:00:00 AM,19.693,,Q,PARK,414,31,Q-14,Brant Point Wildlife Sanctuary,"100,000,421",Q464,764A8F54-4DD6-4846-A399-45403B8039DE,DPR,Beach 72 St. bet. Bayfields Ave. and Hillmeyer Ave.,False,Brant Point Wildlife Sanctuary,31,10,"170,074",Q464,Q-14,False,Q-14,Q-14,False,100,False,Brant Point Wildlife Sanctuary,Large Park,Nature Area,5,True,11692,POINT (-73.8033163687865 40.59832770412804)
1911 Oct 19 12:00:00 AM,3.567,,M,PARK,112,10,M-12,Bennett Rest,"100,005,037",M091,CB6DBEF4-5A7E-46F6-8570-67E37469CB68,DPR,"Henry Hudson Pkwy, Cabrini Blvd, at W186 St",True,Bennett Rest,71,31,"170,042",M091,M-12,False,M-12,M-12,False,34,False,Bennett Rest,Sitting Area/Triangle/Mall,Nature Area,13,False,"10033, 10040",POINT (-73.93648221740068 40.85808854795919)
1897 Jun 22 12:00:00 AM,4.3,128 PITT STREET,M,PARK,103,2,M-03,Hamilton Fish Park,"100,005,068",M033,9E12EA6D-20B9-4030-BA72-D99E3A714E59,DPR,"E Houston St, Stanton St, Sheriff St, Pitt St",True,Hamilton Fish Park,65,27,"170,072",M033,M-03,True,M-03,M-03,True,7,False,Hamilton Fish Park,Neighborhood Plgd,Community Park,10,False,10002,POINT (-73.98073898347396 40.71969859543715)
1965 Dec 16 12:00:00 AM,0.002,584 92 STREET,B,PARK,310,47,B-10,Strip,"100,004,247",B210U,D55A0C1E-D3BA-4034-8592-167C64967A16,DPR,92 St. bet. Gowanus Exwy. and Ft. Hamilton Pkwy.,True,Park,46,26,"170,071",B210U,B-10,False,B-10,B-10,False,68,False,Park,EXWY,Strip,11,False,11209,POINT (-74.02700373904534 40.61637452428077)
1953 Jun 02 12:00:00 AM,0.005,,Q,PARK,402,26,Q-02,Strip,"100,000,095",Q360D,E5B2FD3E-2F62-44CF-89F0-C0E905101675,DPR,54 Ave. bet. 48 St. and 50 St.,True,Park,37,12,"170,067",Q360D,Q-02,False,Q-02,Q-02,False,108,False,Park,STRIP,Strip,7,False,11378,POINT (-73.91813412180724 40.73088376584717)
1937 Apr 16 12:00:00 AM,0.222,,M,PARK,112,10,M-12,McKenna Square,"100,004,138",M156,C5E0645A-51CF-49DE-85BE-F7EE5195E6CF,DPR/CDOT,"W. 165 St., Amsterdam Ave. To Audubon Ave.",False,McKenna Square,72,31,"170,036",M156,M-12,True,M-12,M-12,True,33,False,McKenna Square,Sitting Area/Triangle/Mall,Triangle/Plaza,13,False,10032,POINT (-73.93935633944241 40.83842960183132)
1961 Oct 26 12:00:00 AM,3.735,34-02 114 STREET,Q,PARK,403,21,Q-03,Hinton Park,"100,000,251",Q410,DD501077-8F77-41B3-8B5D-0124E34A026B,DPR,"114 St., 113 St. bet. 34 Ave. and 37 Ave.",True,Hinton Park,35,13,"170,009",Q410,Q-03,True,Q-03,Q-03,True,115,False,Hinton Park,Neighborhood Park,Neighborhood Park,14,False,11368,POINT (-73.85489642595365 40.75594470013762)
2012 Mar 05 12:00:00 AM,0.069,426 BEACH 36 STREET,Q,PARK,414,31,Q-14,Garden,"100,008,347",Q503,11216E1F-DA70-49DF-A3D1-58A86A59DD80,DPR,Beach 36 St. bet. Norton Ave. and Seagirt Blvd.,False,Garden,31,10,"170,008",Q503,Q-14,,Q-14,Q-14,False,101,False,Garden,,Garden,5,False,11691,POINT (-73.76857923911365 40.597016379302026)
1950 Mar 15 12:00:00 AM,9.04,119 TROY AVENUE,B,PARK,308,36,B-08,St. John's Park,"100,004,071",B245,2D9D11CE-85C2-4334-A6EB-1C98B96E5746,DPR,"Troy Ave., Bergen St., Prospect Pl., Schenectady Ave.",True,St. John's Park,56,20,"170,007",B245,B-08,True,B-08,B-08,True,77,False,St. John's Park,Large Park,Community Park,9,False,11213,POINT (-73.93480756592825 40.67422633364505)
1957 May 08 12:00:00 AM,0.07,,Q,PARK,405,30,Q-05,Quick Brown Fox Triangle,"100,000,391",Q360S,03CEA74A-9C34-4E71-B4A3-A2B107B38F0F,CDOT,"73 St., 57 Rd., Queens - Mid-Town Exwy. Sr. Rd. N.",False,Quick Brown Fox Triangle,30,12,"170,060",Q360S,Q-05,False,Q-05,Q-05,True,104,False,Quick Brown Fox Triangle,Sitting Area/Triangle/Mall,Triangle/Plaza,6,False,11378,POINT (-73.8887978866291 40.72750640095349)
1957 May 08 12:00:00 AM,0.17,,Q,PARK,405,30,Q-05,Sitting Area 127 CXXVII,"100,000,057",Q360Q,86CFB5E2-57D7-4977-BB6C-8BC8FA28992D,DPR/SDOT,"69 Ln., 58 Rd., Queens - Mid-Town Exwy. Sr. Rd. S.",False,Sitting Area 127 CXXVII,37,15,"170,059",Q360Q,Q-05,False,Q-05,Q-05,True,104,False,Sitting Area 127 CXXVII,Sitting Area/Triangle/Mall,Triangle/Plaza,6,False,11378,POINT (-73.89221655786216 40.724972247955264)
,0.09,,Q,PARK,405,30,Q-05,Sitting Area,"100,000,058",Q360R,E8612A08-4F4D-478F-B600-7A5F1E0E614F,DPR/SDOT,"58 Ave., 73 St., Queens - Mid-Town Exwy. Sr. Rd. S.",False,Sitting Area,37,12,"170,058",Q360R,Q-05,False,Q-05,Q-05,True,104,False,Sitting Area,Sitting Area/Triangle/Mall,Triangle/Plaza,6,False,11378,POINT (-73.88897891421269 40.72632093856557)
1958 Nov 25 12:00:00 AM,0.004,,Q,PARK,405,30,Q-05,Strip,"100,008,306",Q360Y1,EE855F8F-6519-4D47-8C3E-46587CA31A3E,DPR,Behind overpass at Mazeau St. and LIE Sr. Rd. N.,True,Park,30,12,"170,057",Q360Y1,Q-05,False,Q-05,Q-05,False,104,False,Park,,Strip,6,False,11378,POINT (-73.89095372140653 40.726358405738495)
1968 Aug 22 12:00:00 AM,0.005,,Q,PARK,405,30,Q-05,Park Slope,"100,000,278",Q360P,B2915698-E0D0-41F3-BBED-1727FD12348D,DPR,Behind overpass at 61 St. and Borden Ave.,True,Park Slope,37,12,"170,056",Q360P,Q-05,False,Q-05,Q-05,False,104,False,Park Slope,Sitting Area/Triangle/Mall,Strip,6,False,11378,POINT (-73.90376312155317 40.72550272457623)
2002 Nov 20 12:00:00 AM,0.073,1123 ST MARK'S AVENUE,B,PARK,308,36,B-08,Neighborhood Community Garden,"100,008,343",B540,4784B609-2B35-4B0F-ADD9-19ACFCB62A63,DPR,St Mark's Ave. bet. Schenectady Ave. and Utica Ave,False,Neighborhood Community Garden,56,20,"170,006",B540,B-08,,B-08,B-08,False,77,False,Neighborhood Community Garden,,Garden,9,False,11213,POINT (-73.93256605072466 40.67452379098248)
1955 Aug 25 12:00:00 AM,1.47,,Q,PARK,405,30,Q-05,Frontera Park,"100,000,461",Q360M,2EACCE48-5D25-41FC-93AB-62C17940C99E,DPR,58 Ave. bet. Brown Pl. and 69 St.,True,Frontera Park,37,12,"170,054",Q360M,Q-05,True,Q-05,Q-05,True,104,False,Frontera Park,Neighborhood Plgd,Playground,6,False,11378,POINT (-73.89534173340351 40.72455562543365)
1938 Mar 18 12:00:00 AM,4.353,125-02 ATLANTIC AVENUE,Q,PARK,409,29,Q-09,"Phil ""Scooter"" Rizzuto Park / Smokey Oval","100,000,333",Q129,B5358E56-BB27-4B7F-A3AE-C3875A641A30,DPR,"Atlantic Ave., 95 Ave. bet. 127 St. and 125 St.",True,"Phil ""Scooter"" Rizzuto Park",24,15,"170,003",Q129,Q-09,True,Q-09,Q-09,True,102,False,"Phil ""Scooter"" Rizzuto Park",Neighborhood Plgd,Community Park,5,False,11419,POINT (-73.82164985140679 40.69492270629475)
1954 Jan 14 12:00:00 AM,1.978,82-02 BROADWAY,Q,PARK,404,25,Q-04,CC Moore Homestead Playground,"100,000,236",Q361,5DE202BA-E0A7-4FA3-ABCD-65D9F3AC6309,DPR,"Broadway., 82 St., 45 Ave.",False,Moore Homestead Playground,30,13,"170,052",Q361,Q-04,True,Q-04,Q-04,True,110,False,Moore Homestead Playground,Neighborhood Plgd,Neighborhood Park,6,False,11373,POINT (-73.88242363840902 40.74221449229969)
2003 Jul 22 12:00:00 AM,22.07,3104 HARDING AVENUE,X,PARK,210,13,X-10,Locust Point Marina,"100,004,853",X310,B3FFE422-3F02-45F5-A768-E6C31A5BB211,DPR,Longstreet Ave. bet. Harding Ave. and Giegerich Pl.,False,Locust Point Marina,82,34,"170,029",X310,X-10,True,X-10,X-10,False,45,False,Locust Point Marina,Building,Managed Sites,14,True,10465,POINT (-73.80555029186257 40.81519006485935)
2002 Nov 20 12:00:00 AM,0.054,626 EAST 11 STREET,M,PARK,103,2,M-03,,"100,008,368",M397,68DA5A60-EFD4-41D2-96E5-B6E555CFC9B8,DPR,E 11 St. bet. Ave. B and Ave. C,False,11 BC Serenity Garden,74,27,"170,027",M397,M-03,,M-03,M-03,False,9,False,11 BC Serenity Garden,,Garden,10,False,10009,POINT (-73.9784627518305 40.72680588406566)
1931 Oct 09 12:00:00 AM,0.974,650 BRITTON STREET,X,PARK,211,12,X-11,Zimmerman Playground,"100,004,271",X087,2B0D4543-232C-49F4-82A5-CFD1BD672A76,DPR,Britton St. bet. Olinville Ave. and Barker Ave.,True,Zimmerman Playground,80,36,"170,048",X087,X-11,True,X-11,X-11,True,49,False,Zimmerman Playground,Neighborhood Plgd,Playground,15,False,10467,POINT (-73.86873846254352 40.866155130942985)
2013 Jul 01 12:00:00 AM,0.069,129 STANTON STREET,M,PARK,103,1,M-03,Children's Magical Garden,"100,008,367",M396,AF3628B5-2844-45A9-B9D2-3A96355C0D21,DPR,Stanton St. bet. Essex St. and Norfolk St.,False,Children's Magical Garden,65,27,"170,026",M396,M-03,,M-03,M-03,False,7,False,Children's Magical Garden,,Garden,10,False,10002,POINT (-73.98640845602758 40.72072753004326)
2013 Jun 06 12:00:00 AM,0.066,347 KEAP STREET,B,PARK,301,34,B-01,Keap Fourth Community Garden,"100,008,364",B550,A54398DE-092A-450C-9F53-CE8A1FDD5D6A,DPR,Keap St. bet. S. 4 St. and S. 3 St.,False,Keap Fourth Community Garden,53,18,"170,024",B550,B-01,,B-01,B-01,False,90,False,Keap Fourth Community Garden,,Garden,7,False,11211,POINT (-73.95479213254788 40.70913116522871)
2013 Jun 20 12:00:00 AM,0.248,757 MELROSE AV,X,PARK,201,17,X-01,Garden,"100,008,363",X357,1AC12256-7155-4112-B0D2-598228FFF3E4,DPR,E. 157 St. and Melrose Ave.,False,Garden,79,29,"170,023",X357,X-01,,X-01,X-01,False,40,False,Rainbow Garden of Life and Health,,Garden,15,False,10451,POINT (-73.91553384822595 40.82156915384904)
2013 Apr 19 12:00:00 AM,0.038,330 St. Nicholas Ave.,M,PARK,110,9,M-10,St. Nicholas Miracle Garden,"100,008,360",M394,F4B89474-963F-4BC1-BF79-1D84C15765CB,DPR,St. Nicholas Ave. bet. W. 126 St. and W. 127 St.,False,St. Nicholas Miracle Garden,70,30,"170,021",M394,M-10,,M-10,M-10,False,28,False,St. Nicholas Miracle Garden,,Garden,13,False,10027,POINT (-73.95143326881353 40.81167695550764)
1949 May 14 12:00:00 AM,1.363,46 COLUMBIA PLACE,B,PARK,302,33,B-02,Adam Yauch Park,"100,008,299",B223DA,8B02020E-D1CF-444D-B0EE-27EA1089C2D0,DPR,"Atlantic Ave., Columbia Pl., State St.",True,Adam Yauch Park,52,26,"170,020",B223DA,B-02,True,B-02,B-02,True,84,False,Adam Yauch Park,Neighborhood Plgd,Playground,10,False,11201,POINT (-73.9988812203971 40.692115469819655)
1934 Dec 21 12:00:00 AM,2.13,,M,PARK,111,8,M-11,Park,"100,004,785",M108B,EEDE7990-E500-4823-A283-1380250E70EC,DPR/TBTA,"E. 122 St. To E. 125 St., FDR Dr. To Harlem River Dr.",False,Park,68,29,"170,041",M108B,M-11,False,M-11,M-11,False,25,False,Park,Undeveloped,Parkway,13,False,10035,POINT (-73.92956706467649 40.799708427471685)
1997 Dec 19 12:00:00 AM,0.5,437 BERRY STREET,B,PARK,301,34,B-01,Epiphany Playground,"100,004,612",B405,961DF018-1906-4732-8549-970C3823D210,DPR,Berry St. between S. 9 St. and S. 10 St.,False,Epiphany Playground,50,18,"170,495",B405,B-01,True,B-01,B-01,True,90,False,Epiphany Playground,Neighborhood Plgd,Playground,7,False,11211,POINT (-73.9654822756876 40.708632426956)
1942 Jun 08 12:00:00 AM,0.188,,M,PARK,111,8,M-11,Strip,"100,004,802",M108J,F8631251-D5EB-4587-AECF-C766D79E5ADD,DPR/CDOT,E. 120 St. and Paladino Ave. (Service Rd To FDR Dr.),False,Park,68,29,"170,040",M108J,M-11,True,M-11,M-11,False,25,False,Park,Undeveloped,Strip,13,False,10035,POINT (-73.92949072685249 40.79701600097855)
2013 Mar 25 12:00:00 AM,0.039,340 TOMPKINS AVENUE,B,PARK,303,36,B-03,The Feeding Tree,"100,008,359",B546,F73777A8-5B5D-4102-AAD5-47FD156C2F36,DPR,Tompkins Ave. bet. Madison St. and Monroe St.,False,The Feeding Tree,56,25,"170,019",B546,B-03,,B-03,B-03,False,79,False,The Feeding Tree,,Garden,8,False,11216,POINT (-73.9447107713986 40.68596693043557)
2012 Nov 28 12:00:00 AM,0.057,104 MOORE STREET,B,PARK,301,34,B-01,Oko Farms Aquaponics Education Garden,"100,008,356",B545,94F2ADA1-45BF-4079-8C5F-0F5A109D30B7,DPR,Moorse St. bet. Graham Ave. and Humbold St.,False,Oko Farms Aquaponics Education Garden,53,18,"170,018",B545,B-01,,B-01,B-01,False,90,False,Oko Farms Aquaponics Education Garden,,Garden,7,False,11206,POINT (-73.94131488038943 40.70366909382256)
2012 Nov 28 12:00:00 AM,0.052,100 QUINCY STREET,B,PARK,303,36,B-03,100 Quincy Street Community Garden,"100,008,355",B544,E15B31F9-8684-4A97-A9AC-63015397054F,DPR,Quincy St. bet. Classon Ave. and Franklin Ave.,False,100 Quincy Street Community Garden,57,25,"170,017",B544,B-03,,B-03,B-03,False,79,False,100 Quincy Street Community Garden,,Garden,8,False,11238,POINT (-73.95723636603188 40.68596687114572)
2012 Oct 18 12:00:00 AM,0.122,505 WEST 52 STREET,M,PARK,104,3,M-04,Oasis Garden,"100,008,353",M393,2F310CF1-B50A-4A5C-B723-955A2F0995F9,DPR,W. 52 Street bet. 11 Ave. and 10 Ave.,False,Oasis Garden,67,47,"170,016",M393,M-04,,M-04,M-04,False,18,False,Oasis Garden,,Garden,12,False,10019,POINT (-73.99123200912248 40.766284785934005)
2012 May 21 12:00:00 AM,0.116,375-377 EAST 160 STREET,X,PARK,203,17,X-03,Little Green Garden,"100,008,351",X356,D1BD08B7-1FE2-498D-A240-F0E77D2C0E5F,DPR,E. 160 St. bet. Courtlandt Ave. and Melrose Ave.,False,Little Green Garden,79,32,"170,014",X356,X-03,,X-03,X-03,False,42,False,Little Green Garden,,Garden,15,False,10451,POINT (-73.91494723703241 40.8240436538511)
1942 Dec 30 12:00:00 AM,0.032,566 COURT STREET,B,PARK,306,39,B-06,Cough Triangle,"100,004,457",B210C,23B37277-27D3-4F0E-8814-36B4D4267DE5,DPR,"Hamilton Ave., Court St. Garnet St.",True,Cough Triangle,51,26,"169,983",B210C,B-06,True,B-06,B-06,True,76,False,Cough Triangle,Sitting Area/Triangle/Mall,Triangle/Plaza,10,False,11231,POINT (-73.9998810308246 40.67445589398638)
